id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
32	32	19660	19660	браню'сь	браню'сь	брани'шься	брани'шься	брани'тся	брани'тся	брани'мся	брани'мся	брани'тесь	брани'тесь	браня'тся	браня'тся
33	33	321	321	беру'	беру'	берёшь	берёшь	берёт	берёт	берём	берём	берёте	берёте	беру'т	беру'т
34	34	2961	2961	беру'сь	беру'сь	берёшься	берёшься	берётся	берётся	берёмся	берёмся	берётесь	берётесь	беру'тся	беру'тся
35	35	10927	10927	бре'жу	бре'жу	бре'дишь	бре'дишь	бре'дит	бре'дит	бре'дим	бре'дим	бре'дите	бре'дите	бре'дят	бре'дят
36	36	18558	18558	бренчу'	бренчу'	бренчи'шь	бренчи'шь	бренчи'т	бренчи'т	бренчи'м	бренчи'м	бренчи'те	бренчи'те	бренча'т	бренча'т
37	37	5396	5396	бреду'	бреду'	бредёшь	бредёшь	бредёт	бредёт	бредём	бредём	бредёте	бредёте	бреду'т	бреду'т
38	38	15266	15266	брешу'	брешу'	бре'шешь	бре'шешь	бре'шет	бре'шет	бре'шем	бре'шем	бре'шете	бре'шете	бре'шут	бре'шут
39	39	15771	15771	бре'ю	бре'ю	бре'ешь	бре'ешь	бре'ет	бре'ет	бре'ем	бре'ем	бре'ете	бре'ете	бре'ют	бре'ют
40	40	7938	7938	бре'юсь	бре'юсь	бре'ешься	бре'ешься	бре'ется	бре'ется	бре'емся	бре'емся	бре'етесь	бре'етесь	бре'ются	бре'ются
41	41	2263	2263	брожу'	брожу'	бро'дишь	бро'дишь	бро'дит	бро'дит	бро'дим	бро'дим	бро'дите	бро'дите	бро'дят	бро'дят
42	42	1434	1434	броса'ю	броса'ю	броса'ешь	броса'ешь	броса'ет	броса'ет	броса'ем	броса'ем	броса'ете	броса'ете	броса'ют	броса'ют
43	43	2845	2845	броса'юсь	броса'юсь	броса'ешься	броса'ешься	броса'ется	броса'ется	броса'емся	броса'емся	броса'етесь	броса'етесь	броса'ются	броса'ются
44	44	373	373	бро'шу	бро'шу	бро'сишь	бро'сишь	бро'сит	бро'сит	бро'сим	бро'сим	бро'сите	бро'сите	бро'сят	бро'сят
45	45	1059	1059	бро'шусь	бро'шусь	бро'сишься	бро'сишься	бро'сится	бро'сится	бро'симся	бро'симся	бро'ситесь	бро'ситесь	бро'сятся	бро'сятся
46	46	9070	9070	бры'зну	бры'зну	бры'знешь	бры'знешь	бры'знет	бры'знет	бры'знем	бры'знем	бры'знете	бры'знете	бры'знут	бры'знут
47	47	26452	26452	брюзжу'	брюзжу'	брюзжи'шь	брюзжи'шь	брюзжи'т	брюзжи'т	брюзжи'м	брюзжи'м	брюзжи'те	брюзжи'те	брюзжа'т	брюзжа'т
48	48	4768	4768	бужу'	бужу'	бу'дишь	бу'дишь	бу'дит	бу'дит	бу'дим	бу'дим	бу'дите	бу'дите	бу'дят	бу'дят
49	49	11705	11705	бу'лькаю	бу'лькаю	бу'лькаешь	бу'лькаешь	бу'лькает	бу'лькает	бу'лькаем	бу'лькаем	бу'лькаете	бу'лькаете	бу'лькают	бу'лькают
50	50	16128	16128	бурчу'	бурчу'	бурчи'шь	бурчи'шь	бурчи'т	бурчи'т	бурчи'м	бурчи'м	бурчи'те	бурчи'те	бурча'т	бурча'т
51	51	16352	16352	бу'хаю	бу'хаю	бу'хаешь	бу'хаешь	бу'хает	бу'хает	бу'хаем	бу'хаем	бу'хаете	бу'хаете	бу'хают	бу'хают
52	52	264	264	быва'ю	быва'ю	быва'ешь	быва'ешь	быва'ет	быва'ет	быва'ем	быва'ем	быва'ете	быва'ете	быва'ют	быва'ют
53	53	9	9	есть	есть	есть	есть	есть	есть	есть	есть	есть	есть	есть	есть
54	54	1987	1987	валю'	валю'	ва'лишь	ва'лишь	ва'лит	ва'лит	ва'лим	ва'лим	ва'лите	ва'лите	ва'лят	ва'лят
55	55	6512	6512	валя'ю	валя'ю	валя'ешь	валя'ешь	валя'ет	валя'ет	валя'ем	валя'ем	валя'ете	валя'ете	валя'ют	валя'ют
56	56	2187	2187	валя'юсь	валя'юсь	валя'ешься	валя'ешься	валя'ется	валя'ется	валя'емся	валя'емся	валя'етесь	валя'етесь	валя'ются	валя'ются
57	57	1732	1732	варю'	варю'	ва'ришь	ва'ришь	ва'рит	ва'рит	ва'рим	ва'рим	ва'рите	ва'рите	ва'рят	ва'рят
58	58	18640	18640	вбира'ю	вбира'ю	вбира'ешь	вбира'ешь	вбира'ет	вбира'ет	вбира'ем	вбира'ем	вбира'ете	вбира'ете	вбира'ют	вбира'ют
59	59	2390	2390	введу'	введу'	введёшь	введёшь	введёт	введёт	введём	введём	введёте	введёте	введу'т	введу'т
60	60	5219	5219	ввожу'	ввожу'	вво'дишь	вво'дишь	вво'дит	вво'дит	вво'дим	вво'дим	вво'дите	вво'дите	вво'дят	вво'дят
61	61	9056	9056	вгляжу'сь	вгляжу'сь	вгляди'шься	вгляди'шься	вгляди'тся	вгляди'тся	вгляди'мся	вгляди'мся	вгляди'тесь	вгляди'тесь	вглядя'тся	вглядя'тся
62	62	3970	3970	ве'даю	ве'даю	ве'даешь	ве'даешь	ве'дает	ве'дает	ве'даем	ве'даем	ве'даете	ве'даете	ве'дают	ве'дают
63	63	17566	17566	вербу'ю	вербу'ю	вербу'ешь	вербу'ешь	вербу'ет	вербу'ет	вербу'ем	вербу'ем	вербу'ете	вербу'ете	вербу'ют	вербу'ют
64	64	16938	16938	верещу'	верещу'	верещи'шь	верещи'шь	верещи'т	верещи'т	верещи'м	верещи'м	верещи'те	верещи'те	вереща'т	вереща'т
65	65	418	418	ве'рю	ве'рю	ве'ришь	ве'ришь	ве'рит	ве'рит	ве'рим	ве'рим	ве'рите	ве'рите	ве'рят	ве'рят
66	66	1507	1507	верну'	верну'	вернёшь	вернёшь	вернёт	вернёт	вернём	вернём	вернёте	вернёте	верну'т	верну'т
67	67	224	224	верну'сь	верну'сь	вернёшься	вернёшься	вернётся	вернётся	вернёмся	вернёмся	вернётесь	вернётесь	верну'тся	верну'тся
68	68	7213	7213	верчу'	верчу'	ве'ртишь	ве'ртишь	ве'ртит	ве'ртит	ве'ртим	ве'ртим	ве'ртите	ве'ртите	ве'ртят	ве'ртят
69	69	22701	22701	вершу'	вершу'	верши'шь	верши'шь	верши'т	верши'т	верши'м	верши'м	верши'те	верши'те	верша'т	верша'т
70	70	10160	10160	ве'шу	ве'шу	ве'сишь	ве'сишь	ве'сит	ве'сит	ве'сим	ве'сим	ве'сите	ве'сите	ве'сят	ве'сят
