хороший
плохой
молодой
старый
новый
большой
маленький
весёлый
грустный
толстый
худой
высокий
низкий
добрый
злой
умный
глупый
тёмный
светлый
длинный
короткий
холодный
тёплый
горячий
сильный
слабый
чистый
грязный
интересный
скучный
широкий
узкий
дорогой
дешёвый


